uen,Company Name,primary_ssic_code,secondary_ssic_code,primary_ssic_description,secondary_ssic_description,finaladdress,entity_status_description,uen_issue_date,registration_incorporation_date,entity_type_description,ACRA Update Date
200816741G,A-PLUS FOOD SINGAPORE PTE. LTD.,46900,47802,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,STALLS (INCLUDING PUSHCARTS) SELLING OTHER COMMODITIES (OTHER THAN UNCOOKED FOOD),2 YISHUN INDUSTRIAL STREET 1 NORTH POINT BIZHUB #03-05 Singapore 768159 ,Live Company,2008-09-13,2008-08-22,Local Company,2022-08-25
49837300B,AAJ ELECTRICAL CABLE JOINTING,43210,na,ELECTRICAL WORKS,na,10 ANSON ROAD INTERNATIONAL PLAZA #05-16 Singapore 079903 ,Live,2008-09-10,1993-12-17,Business,2022-08-25
200904175N,ACHIEVERLIFE PTE. LTD.,85409,na,TRAINING COURSES N.E.C.,na,1 TAMPINES NORTH DRIVE 1 T-SPACE #06-08 Singapore 528559 ,Live Company,2009-03-10,2009-03-09,Local Company,2022-08-25
201421115M,ADASTRA DESIGN SINGAPORE PTE. LTD.,74199,na,OTHER SPECIALISED DESIGN ACTIVITIES N.E.C.,na,26 SIN MING LANE MIDVIEW CITY #06-125 Singapore 573971 ,Live Company,2014-07-19,2014-07-18,Local Company,2022-08-25
53389273B,AK TRADERS INTERNATIONAL,46900,46303,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,"WHOLESALE OF A GENERAL LINE (WIDE RANGE) OF GROCERIES (E.G. CEREALS, SUGAR, EDIBLE OILS, SAUCES AND DAIRY PRODUCTS)",506 CHAI CHEE LANE BOXPARK @ CHAI CHEE #01-02 Singapore 469026 ,Registration expired and has not been renewed,2018-10-29,2018-10-29,Business,2022-08-25
200904197C,AL BRIGHT CONSTRUCTION PTE. LTD.,41001,71122,GENERAL CONTRACTORS (BUILDING CONSTRUCTION INCLUDING MAJOR UPGRADING WORKS),PROCESS AND INDUSTRIAL PLANT ENGINEERING DESIGN AND CONSULTANCY SERVICES,15 TELOK BLANGAH CRESCENT MOUNT FABER VIEW #12-230 Singapore 090015 ,Live Company,2009-03-10,2009-03-09,Local Company,2022-08-25
53233240K,ALAN SERVICES,47531,47770,"RETAIL SALE OF FURNITURE (INCLUDING MATTRESSES, CUSHIONS)",RETAIL SALE OF SECOND-HAND GOODS IN STORES,272 CHOA CHU KANG AVENUE 2  #08-253 Singapore 680272 ,Ceased Registration,2013-03-20,2013-03-19,Business,2022-08-25
53368296K,ALMOND BAKERY,10712,na,"MANUFACTURE OF BREAD, CAKES AND CONFECTIONERY (EXCLUDING FROZEN BAKERY PRODUCTS)",na,630 BUKIT BATOK CENTRAL  #01-150 Singapore 650630 ,Live,2017-08-10,2017-08-10,Business,2022-08-25
201021434R,ALTITUDE ALLIANCE PTE. LTD.,70201,68203,MANAGEMENT CONSULTANCY SERVICES,"RESIDENTIAL (OTHER THAN TOWN COUNCILS), COMMERCIAL AND INDUSTRIAL REAL ESTATE MANAGEMENT",1 MARITIME SQUARE HARBOURFRONT CENTRE #10-54 Singapore 099253 ,Live Company,2010-10-08,2010-10-07,Local Company,2022-08-25
201809558D,AMBER 360 PTE. LTD.,70201,na,MANAGEMENT CONSULTANCY SERVICES (GENERAL),na,160 ROBINSON ROAD  #14-04 Singapore 068914 ,Live Company,2018-03-20,2018-03-20,Local Company,2022-08-25
201818705W,AMBERMOB PTE. LTD.,73100,62012,ADVERTISING ACTIVITIES,DEVELOPMENT OF COMPUTER GAMES,2 VENTURE DRIVE VISION EXCHANGE #11-31 Singapore 608526 ,Live Company,2018-06-01,2018-06-01,Local Company,2022-08-25
53325956L,ANDRHO,49214,na,STREET-HAIL AND RIDE-HAIL SERVICE PROVIDERS,na,336 BUKIT BATOK STREET 32  #09-297 Singapore 650336 ,Live,2015-12-25,2015-12-24,Business,2022-08-25
201433996M,APNAS BAZAR PTE. LTD.,47102,82999,"MINI-MARTS, CONVENIENCE STORES AND PROVISION SHOPS",OTHER BUSINESS SUPPORT SERVICE ACTIVITIES (E.G. ADMINISTRATION OF LOYALTY PROGRAMMES),2 PETIR ROAD MAYSPRINGS #01-15 Singapore 678265 ,Live Company,2014-11-19,2014-11-13,Local Company,2022-08-25
201418942K,APPS PLANET PTE. LTD.,62011,70209,DEVELOPMENT OF SOFTWARE AND APPLICATIONS (EXCEPT GAMES AND CYBERSECURITY),MANAGEMENT CONSULTANCY SERVICES N.E.C.,10 ANSON ROAD INTERNATIONAL PLAZA #33-01/16 Singapore 079903 ,Live Company,2014-07-01,2014-06-30,Local Company,2022-08-25
201418070R,ARC TECHNOLOGIES PTE. LTD.,62090,na,OTHER INFORMATION TECHNOLOGY AND COMPUTER SERVICE ACTIVITIES (EG DISASTER RECOVERY SERVICES),na,231 MOUNTBATTEN ROAD MOUNTBATTEN CENTRE #01-06 Singapore 397999 ,Struck Off,2014-06-21,2014-06-20,Local Company,2022-08-25
200503411G,ARCTIC VENDING PTE. LTD.,47742,47220,"RETAIL SALE OF HANDICRAFTS, COLLECTIBLES AND GIFTS",RETAIL SALE OF BEVERAGES,2 BUKIT BATOK STREET 24 SKYTECH #06-18 Singapore 659480 ,Struck Off,2008-09-13,2005-03-15,Local Company,2022-08-25
201320230W,ARENA SHIP MANAGEMENT SERVICES PTE. LTD.,52226,52229,SHIP MANAGEMENT SERVICES,SUPPORTING SERVICES TO WATER TRANSPORT N.E.C.,12 TANNERY ROAD HB CENTRE 1 #10-01 Singapore 347722 ,Live Company,2013-07-26,2013-07-25,Local Company,2022-08-25
201624850G,ASSURANCE MEDICARE PTE. LTD.,86201,64202,CLINICS AND OTHER GENERAL MEDICAL SERVICES (WESTERN),OTHER HOLDING COMPANIES,370 TANJONG KATONG ROAD   Singapore 437127 ,Live Company,2016-09-09,2016-09-09,Local Company,2022-08-25
201831484G,ATHENA ENERGY HOLDINGS PTE. LTD.,71123,na,ENGINEERING DESIGN AND CONSULTANCY SERVICES IN ENERGY MANAGEMENT AND CLEAN ENERGY SYSTEMS,na,133 NEW BRIDGE ROAD CHINATOWN POINT #18-09 Singapore 059413 ,Live Company,2018-09-13,2018-09-13,Local Company,2022-08-25
201419628D,AUDI CONSTRUCTION PTE. LTD.,41001,41009,GENERAL CONTRACTORS (BUILDING CONSTRUCTION INCLUDING MAJOR UPGRADING WORKS),BUILDING CONSTRUCTION N.E.C.,41 CHAI CHEE STREET  #14-22 Singapore 461041 ,Live Company,2014-07-05,2014-07-04,Local Company,2022-08-25
202026167K,AVADA COMMERCE PTE. LTD.,62011,58202,DEVELOPMENT OF E-COMMERCE APPLICATIONS,PUBLISHING OF OTHER SOFTWARE/APPLICATIONS (NON-GAMES),1 SOPHIA ROAD PEACE CENTRE #05-12 Singapore 228149 ,Live Company,2020-08-28,2020-08-28,Local Company,2022-08-25
52986093K,AXIS TRAINING & CONSULTANCY,85409,70201,TRAINING COURSES N.E.C.,MANAGEMENT CONSULTANCY SERVICES,1 THOMSON ROAD BALESTIER HILL SHOPPING CENTRE #03-332D Singapore 300001 ,Live,2008-09-12,2003-01-15,Business,2022-08-25
200812432R,B&E BUILDER PTE. LTD.,43301,41009,RENOVATION CONTRACTORS,BUILDING CONSTRUCTION N.E.C.,37 JALAN PEMIMPIN MAPEX #04-08 Singapore 577177 ,Live Company,2008-09-13,2008-06-26,Local Company,2022-08-25
201408210K,BACK OFFICE CONSULTING PTE. LTD.,70201,na,MANAGEMENT CONSULTANCY SERVICES (GENERAL),na,60 PAYA LEBAR ROAD PAYA LEBAR SQUARE #08-05 Singapore 409051 ,Live Company,2014-03-22,2014-03-21,Local Company,2022-08-25
200506864K,BE-MAD CONSULTANCY PTE. LTD.,70201,na,MANAGEMENT CONSULTANCY SERVICES (GENERAL),na,14 ROBINSON ROAD FAR EAST FINANCE BUILDING #08-01A Singapore 048545 ,Live Company,2008-09-13,2005-05-18,Local Company,2022-08-25
53410001E,BERJAYA INFINITUM,70209,na,MANAGEMENT CONSULTANCY SERVICES N.E.C.,na,38A RACE COURSE ROAD   Singapore 218555 ,Live,2020-02-28,2020-02-28,Business,2022-08-25
201430864H,BESURE PTE. LTD.,96012,na,SELF-OPERATED LAUNDRIES,na,8 JALAN BATU DI TANJONG RHU #01-05 Singapore 431008 ,Live Company,2014-10-21,2014-10-15,Local Company,2022-08-25
201430864H,LUMOS ELECTRONICS PTE. LTD.,47711,na,RETAIL SALE OF CLOTHING FOR ADULTS,na,5 TAMPINES CENTRAL 6 TELEPARK #03-38 Singapore 529482 ,Live Company,2014-10-21,2014-10-15,Local Company,2022-08-25
